name,year,lowermiddlequarter,suburb,incomeperstudent,fulltimenonteachers,state,schooltype,uppermiddlequarter,netrecurrentincome,topquarter,schoolsector,capitalexpenditure,icseavalue,fulltimeteachers,location,totalenrollments,bottomquarter,schoolheading,studentteacherratio,type,ratio,tophalf,midics,readingyear3,writingyear3,spellingyear3,grammaryear3,numeracyyear3,readingyear5,writingyear5,spellingyear5,grammaryear5,numeracyyear5,readingyear7,writingyear7,spellingyear7,grammaryear7,numeracyyear7,readingyear9,writingyear9,spellingyear9,grammaryear9,numeracyyear9,_merge,missy3,missy5,missy7,missy9,rawy3agg,rawy5agg,rawy7agg,rawy9agg,y3aggregate,y5aggregate,y7aggregate,y9aggregate,reporticsea,incomequartile,y3quartile,y3agg10,ics10,fitted
St Joseph's School,2014,27,Atherton,10358,6,QLD,Primary,28,2175175,29,Non-government,167249,1041,14.2,Provincial,241,16,"St Joseph's School, Atherton, QLD",,Primary,16.97183037,1,above,431,402,403,416,383,500,467,492,497,466,562,527,537,570,541,,,,,,3,0,0,0,5,2035,2422,2737,,2035,2422,2737,,report ICSEA,2,4,20350,10410,"2,086.19165"
St Joseph's School,2014,4,Bardon,8898,7,QLD,Primary,17,3906191,79,Non-government,128620,1179,22.9,Metropolitan,427,1,"St Joseph's School, Bardon, QLD",,Primary,18.64628792,1,above,443,418,424,461,435,548,498,541,547,536,630,559,579,614,646,,,,,,3,0,0,0,5,2181,2670,3028,,2181,2670,3028,,report ICSEA,1 (lowest income),4,21810,11790,"2,354.989258"
St Joseph's School,2014,34,Barmera,18073,2.2,SA,Primary,31,1012094,9,Non-government,10715,972,4.2,Provincial,55,26,"St Joseph's School, Barmera, SA",,Primary,13.09523773,0,below,406,385,372,374,369,450,425,425,437,448,479,491,527,475,522,,,,,,3,0,0,0,5,1906,2185,2494,,1906,2185,2494,,report ICSEA,4 (highest income),4,19060,9720,"1,951.792847"
St Joseph's School,2014,27,Barraba,12410,1.4,NSW,Primary,30,992817,29,Non-government,28928,1047,4.6,Provincial,72,14,"St Joseph's School, Barraba, NSW",,Primary,15.652174,1,above,423,380,387,413,400,528,440,465,501,490,,,,,,,,,,,3,0,0,5,5,2003,2424,,,2003,2424,,,report ICSEA,2,4,20030,10470,"2,097.878418"
St Joseph's School,2014,20,Beechworth,12754,1.7,VIC,Primary,34,1237158,39,Non-government,17490,1085,7,Provincial,112,8,"St Joseph's School, Beechworth, VIC",,Primary,16,1,above,402,396,396,439,374,541,474,510,502,497,,,,,,,,,,,3,0,0,5,5,2007,2524,,,2007,2524,,,report ICSEA,3,4,20070,10850,"2,171.895264"
St Joseph's School,2014,34,Benalla,8508,5.6,VIC,Primary,29,2739722,22,Non-government,198227,1044,18.4,Provincial,324,15,"St Joseph's School, Benalla, VIC",,Primary,17.60869598,1,above,438,400,395,421,397,512,483,491,511,496,,,,,,,,,,,3,0,0,5,5,2051,2493,,,2051,2493,,,report ICSEA,1 (lowest income),4,20510,10440,"2,092.035156"
St Joseph's School,2014,25,Bendigo,8460,3.6,VIC,Primary,36,2757896,33,Non-government,67511,1076,19,Provincial,329,6,"St Joseph's School, Bendigo, VIC",,Primary,17.31579018,1,above,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,,,,,,,,,report ICSEA,1 (lowest income),,,10760,"2,154.36499"
St Joseph's School,2014,8,Black Rock,11463,2.9,VIC,Primary,31,2090918,60,Non-government,11426,1110,14.3,Metropolitan,180,1,"St Joseph's School, Black Rock, VIC",,Primary,12.58741283,1,above,473,391,418,455,408,501,467,468,479,489,,,,,,,,,,,3,0,0,5,5,2145,2404,,,2145,2404,,,report ICSEA,2,4,21450,11100,"2,220.590332"
St Joseph's School,2014,38,Bombala,17287,1.6,NSW,Primary,26,605052,18,Non-government,9461,1024,3.3,Provincial,41,18,"St Joseph's School, Bombala, NSW",,Primary,12.42424202,0,above,400,356,375,409,365,,,,,,,,,,,,,,,,3,0,5,5,5,1905,,,,1905,,,,report ICSEA,4 (highest income),4,19050,10240,"2,053.078857"
St Joseph's School,2014,32,Boorowa,16253,1.8,NSW,Primary,36,893888,17,Non-government,6732,1032,5.9,Provincial,55,16,"St Joseph's School, Boorowa, NSW",,Primary,9.322033882,1,above,381,385,359,369,379,486,466,457,458,496,,,,,,,,,,,3,0,0,5,5,1873,2363,,,1873,2363,,,report ICSEA,3,4,18730,10320,"2,068.661377"
St Joseph's School,2014,28,Boronia,12064,6.7,VIC,Primary,37,2251216,22,Non-government,91567,1045,11,Metropolitan,165,13,"St Joseph's School, Boronia, VIC",,Primary,15,1,above,412,388,402,425,394,539,459,496,501,502,,,,,,,,,,,3,0,0,5,5,2021,2497,,,2021,2497,,,report ICSEA,2,4,20210,10450,"2,093.98291"
St Joseph's School,2014,30,Boulder,12267,10.5,WA,Primary,28,2416567,8,Non-government,128634,977,11.9,Provincial,192,34,"St Joseph's School, Boulder, WA",,Primary,16.13445473,0,below,397,384,409,419,381,469,429,462,467,456,,,,,,,,,,,3,0,0,5,5,1990,2283,,,1990,2283,,,report ICSEA,2,4,19900,9770,"1,961.53186"
St Joseph's School,2014,11,Brunswick West,9346,4.4,VIC,Primary,29,3003919,55,Non-government,101069,1120,20.8,Metropolitan,314,5,"St Joseph's School, Brunswick West, VIC",,Primary,15.09615421,1,above,465,435,431,457,442,519,499,480,496,499,,,,,,,,,,,3,0,0,5,5,2230,2493,,,2230,2493,,,report ICSEA,1 (lowest income),4,22300,11200,"2,240.068604"
St Joseph's School,2014,30,Bundaberg,11845,4.1,QLD,Primary,31,2203258,21,Non-government,76180,1030,11.6,Provincial,180,19,"St Joseph's School, Bundaberg, QLD",,Primary,15.51724148,1,above,413,371,370,418,361,514,478,495,506,494,537,496,514,520,550,,,,,,3,0,0,0,5,1933,2487,2617,,1933,2487,2617,,report ICSEA,2,4,19330,10300,"2,064.765869"
St Joseph's School,2014,35,Busselton,8925,11.3,WA,Primary,26,4212708,23,Non-government,847693,1042,20.9,Provincial,473,16,"St Joseph's School, Busselton, WA",,Primary,22.63157845,0,above,426,425,413,425,408,526,492,511,528,505,560,525,558,563,574,,,,,,3,0,0,0,5,2097,2562,2780,,2097,2562,2780,,report ICSEA,1 (lowest income),4,20970,10420,"2,088.139404"
St Joseph's School,2014,28,Charlton,18350,2.2,VIC,Primary,22,789068,10,Non-government,37151,966,4.4,Provincial,40,41,"St Joseph's School, Charlton, VIC",,Primary,9.090909004,0,below,404,363,394,411,333,,,,,,,,,,,,,,,,3,0,5,5,5,1905,,,,1905,,,,report ICSEA,4 (highest income),4,19050,9660,"1,940.105957"
St Joseph's School,2014,20,Chelsea,8694,4.6,VIC,Primary,38,3277660,36,Non-government,173654,1084,22,Metropolitan,386,5,"St Joseph's School, Chelsea, VIC",,Primary,17.54545403,1,above,439,406,425,452,414,511,481,494,502,467,,,,,,,,,,,3,0,0,5,5,2136,2455,,,2136,2455,,,report ICSEA,1 (lowest income),4,21360,10840,"2,169.94751"
St Joseph's School,2014,33,Childers,13248,4.3,QLD,Primary,33,1338016,15,Non-government,63302,1020,7.8,Provincial,102,19,"St Joseph's School, Childers, QLD",,Primary,13.07692337,0,above,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,,,,,,,,,report ICSEA,3,,,10200,"2,045.28772"
St Joseph's School,2014,28,Chinchilla,9156,3.8,QLD,Primary,37,1849493,20,Non-government,237448,1035,12.2,Provincial,215,15,"St Joseph's School, Chinchilla, QLD",,Primary,17.62295151,1,above,410,402,383,446,410,464,430,460,454,439,528,485,502,513,532,,,,,,3,0,0,0,5,2051,2247,2560,,2051,2247,2560,,report ICSEA,1 (lowest income),4,20510,10350,"2,074.504883"
St Joseph's School,2014,19,Clare,10800,2.9,SA,Primary,39,2699904,35,Non-government,120215,1071,14.3,Provincial,256,6,"St Joseph's School, Clare, SA",,Primary,17.9020977,1,above,435,416,422,445,423,543,502,521,525,533,586,525,560,574,578,,,,,,3,0,0,0,5,2141,2624,2823,,2141,2624,2823,,report ICSEA,2,4,21410,10710,"2,144.625977"
St Joseph's School,2014,33,Clermont,14681,4.1,QLD,Primary,28,1717713,20,Non-government,33432,1024,9.9,Remote,118,19,"St Joseph's School, Clermont, QLD",,Primary,11.91919231,0,above,405,413,382,403,393,521,462,503,507,491,557,515,537,551,540,,,,,,3,0,0,0,5,1996,2484,2700,,1996,2484,2700,,report ICSEA,3,4,19960,10240,"2,053.078857"
St Joseph's School,2014,29,Cloncurry,11300,7.3,QLD,Primary,30,1932309,20,Non-government,84198,998,17.1,Remote,192,21,"St Joseph's School, Cloncurry, QLD",,Primary,11.22807026,0,below,406,356,396,395,361,543,495,520,514,537,524,515,503,537,533,563,520,524,528,551,3,0,0,0,0,1914,2609,2612,2686,1914,2609,2612,2686,report ICSEA,2,4,19140,9980,"2,002.435913"
St Joseph's School,2014,37,Cobram,8558,5.5,VIC,Primary,22,3149398,12,Non-government,96008,1001,19.1,Provincial,365,29,"St Joseph's School, Cobram, VIC",,Primary,19.1099472,0,below,407,358,385,393,381,474,462,481,470,461,,,,,,,,,,,3,0,0,5,5,1924,2348,,,1924,2348,,,report ICSEA,1 (lowest income),4,19240,10010,"2,008.279297"
St Joseph's School,2014,22,Coleraine,28748,0.9,VIC,Primary,26,574967,6,Non-government,46850,925,2.8,Provincial,25,46,"St Joseph's School, Coleraine, VIC",,Primary,8.928571701,0,below,371,368,339,357,361,,,,,,,,,,,,,,,,3,0,5,5,5,1796,,,,1796,,,,report ICSEA,4 (highest income),4,17960,9250,"1,860.24585"
St Joseph's School,2014,15,Collingwood,15373,3.4,VIC,Primary,9,2259853,2,Non-government,492389,883,12,Metropolitan,137,74,"St Joseph's School, Collingwood, VIC",,Primary,11.41666698,0,below,395,358,382,398,370,432,447,443,439,442,,,,,,,,,,,3,0,0,5,5,1903,2203,,,1903,2203,,,report ICSEA,3,4,19030,8830,"1,778.437866"
St Joseph's School,2014,29,Crib Point,13377,5.6,VIC,Primary,38,2180493,21,Non-government,100054,1027,13.3,Metropolitan,170,12,"St Joseph's School, Crib Point, VIC",,Primary,12.78195477,1,above,448,440,432,446,420,526,484,514,498,475,,,,,,,,,,,3,0,0,5,5,2186,2497,,,2186,2497,,,report ICSEA,3,4,21860,10270,"2,058.922363"
St Joseph's School,2014,6,Elsternwick,9943,4.3,VIC,Primary,21,2276913,72,Non-government,289502,1160,16.1,Metropolitan,261,1,"St Joseph's School, Elsternwick, VIC",,Primary,16.21117973,1,above,481,456,441,480,473,553,536,535,545,534,,,,,,,,,,,3,0,0,5,5,2331,2703,,,2331,2703,,,report ICSEA,1 (lowest income),4,23310,11600,"2,317.980957"
St Joseph's School,2014,30,Gayndah,12022,3.7,QLD,Primary,34,1274303,14,Non-government,71381,1000,8,Provincial,109,22,"St Joseph's School, Gayndah, QLD",,Primary,13.625,0,below,364,372,382,334,347,473,443,444,448,458,533,465,525,529,581,,,,,,3,0,0,0,5,1799,2266,2633,,1799,2266,2633,,report ICSEA,2,4,17990,10000,"2,006.331543"
St Joseph's School,2014,30,Gilgandra,9486,2.8,NSW,Primary,27,1565194,20,Non-government,79412,1009,10.1,Provincial,192,23,"St Joseph's School, Gilgandra, NSW",,Primary,19.00990105,0,above,430,462,436,500,438,553,509,551,573,567,,,,,,,,,,,3,0,0,5,5,2266,2753,,,2266,2753,,,report ICSEA,1 (lowest income),4,22660,10090,"2,023.861816"
St Joseph's School,2014,37,Gladstone,18446,1.6,SA,Primary,31,940747,16,Non-government,9013,1019,4.9,Provincial,45,16,"St Joseph's School, Gladstone, SA",,Primary,9.183673859,0,above,462,309,399,471,446,470,450,522,448,426,,,,,,,,,,,3,0,0,5,5,2087,2316,,,2087,2316,,,report ICSEA,4 (highest income),4,20870,10190,"2,043.339844"
St Joseph's School,2014,33,Glen Innes,11580,4.4,NSW,Primary,30,2223364,21,Non-government,97408,1029,10.9,Provincial,211,17,"St Joseph's School, Glen Innes, NSW",,Primary,19.35779762,1,above,407,407,419,440,407,512,489,491,502,497,,,,,,,,,,,3,0,0,5,5,2080,2491,,,2080,2491,,,report ICSEA,2,4,20800,10290,"2,062.817871"
St Joseph's School,2014,18,Grenfell,15360,1.2,NSW,Primary,22,906237,53,Non-government,8038,1101,5.8,Provincial,60,7,"St Joseph's School, Grenfell, NSW",,Primary,10.34482765,1,above,,,,,,546,505,535,524,488,,,,,,,,,,,3,5,0,5,5,,2598,,,,2598,,,report ICSEA,3,,,11010,"2,203.060059"
St Joseph's School,2014,3,Hawthorn,9001,7.8,VIC,Primary,15,2988491,82,Non-government,304330,1190,20.6,Metropolitan,358,0,"St Joseph's School, Hawthorn, VIC",,Primary,17.37864113,1,above,480,434,424,482,441,540,520,497,519,492,,,,,,,,,,,3,0,0,5,5,2261,2568,,,2261,2568,,,report ICSEA,1 (lowest income),4,22610,11900,"2,376.415039"
St Joseph's School,2014,29,Hectorville,10331,16.3,SA,Primary,35,6126179,24,Non-government,103204,1051,28.5,Metropolitan,584,12,"St Joseph's School, Hectorville, SA",,Primary,20.4912281,1,above,421,412,406,433,398,490,477,485,497,471,544,532,563,550,555,,,,,,3,0,0,0,5,2070,2420,2744,,2070,2420,2744,,report ICSEA,1 (lowest income),4,20700,10510,"2,105.669678"
St Joseph's School,2014,48,Hopetoun,25468,1.2,VIC,Primary,18,636694,3,Non-government,22730,940,2.4,Remote,26,31,"St Joseph's School, Hopetoun, VIC",,Primary,10.83333302,0,below,,,,,,,,,,438,,,,,,,,,,,3,5,4,5,5,,438,,,,,,,report ICSEA,4 (highest income),,,9400,"1,889.463013"
St Joseph's School,2014,33,Kerang,13593,2.2,VIC,Primary,23,1332071,16,Non-government,32379,1004,7,Provincial,103,28,"St Joseph's School, Kerang, VIC",,Primary,14.71428585,0,below,365,339,324,355,350,472,424,454,458,465,,,,,,,,,,,3,0,0,5,5,1733,2273,,,1733,2273,,,report ICSEA,3,4,17330,10040,"2,014.122681"
St Joseph's School,2014,9,Kingswood,9694,4.9,SA,Primary,22,2908280,67,Non-government,53374,1141,16.3,Metropolitan,304,2,"St Joseph's School, Kingswood, SA",,Primary,18.6503067,1,above,463,449,460,481,459,524,500,532,537,497,596,557,592,595,589,,,,,,3,0,0,0,5,2312,2590,2929,,2312,2590,2929,,report ICSEA,1 (lowest income),4,23120,11410,"2,280.972412"
St Joseph's School,2014,36,Korumburra,13488,1.8,VIC,Primary,29,1213892,18,Non-government,28427,1000,7.4,Provincial,106,17,"St Joseph's School, Korumburra, VIC",,Primary,14.32432461,0,below,411,398,408,414,398,472,423,436,448,470,,,,,,,,,,,3,0,0,5,5,2029,2249,,,2029,2249,,,report ICSEA,3,4,20290,10000,"2,006.331543"
St Joseph's School,2014,21,Kununurra,19430,15.1,WA,Primary,21,3895726,14,Non-government,1108320,854,14,Very Remote,169,45,"St Joseph's School, Kununurra, WA",,Primary,12.0714283,0,below,366,327,325,306,312,418,353,391,375,372,515,,,,508,,,,,,3,0,0,3,5,1636,1909,1023,,1636,1909,,,report ICSEA,4 (highest income),4,16360,8540,"1,721.951416"
St Joseph's School,2014,33,Manildra,14155,1.3,NSW,Primary,25,552041,17,Non-government,7123,1009,3.4,Provincial,31,26,"St Joseph's School, Manildra, NSW",,Primary,9.117647171,0,above,471,449,419,443,436,558,496,588,616,584,,,,,,,,,,,3,0,0,5,5,2218,2842,,,2218,2842,,,report ICSEA,3,4,22180,10090,"2,023.861816"
St Joseph's School,2014,29,Millmerran,11671,2.9,QLD,Primary,27,1038731,17,Non-government,32257,1002,6,Provincial,84,28,"St Joseph's School, Millmerran, QLD",,Primary,14,0,below,394,396,419,399,418,497,442,516,497,464,,,,,,,,,,,3,0,0,5,5,2026,2416,,,2026,2416,,,report ICSEA,2,4,20260,10020,"2,010.227173"
St Joseph's School,2014,36,Molong,19408,1.2,NSW,Primary,28,931582,16,Non-government,20145,1016,4.9,Provincial,45,19,"St Joseph's School, Molong, NSW",,Primary,9.183673859,0,above,444,430,435,462,426,481,456,500,490,500,,,,,,,,,,,3,0,0,5,5,2197,2427,,,2197,2427,,,report ICSEA,4 (highest income),4,21970,10160,"2,037.49646"
St Joseph's School,2014,32,Moora,15316,7.5,WA,Primary,23,2327971,6,Non-government,168878,917,10.8,Provincial,151,39,"St Joseph's School, Moora, WA",,Primary,13.98148155,0,below,360,394,354,398,373,460,442,463,471,442,511,490,518,509,530,,,,,,3,0,0,0,5,1879,2278,2558,,1879,2278,2558,,report ICSEA,3,4,18790,9170,"1,844.663452"
St Joseph's School,2014,36,Mount Isa,10351,12,QLD,Primary,31,4100076,21,Non-government,180564,1026,21.5,Remote,388,12,"St Joseph's School, Mount Isa, QLD",,Primary,18.0465107,1,above,399,383,403,404,392,494,441,499,488,477,533,511,521,510,516,,,,,,3,0,0,0,5,1981,2399,2591,,1981,2399,2591,,report ICSEA,1 (lowest income),4,19810,10260,"2,056.974609"
St Joseph's School,2014,17,Mundingburra,8433,11.3,QLD,Primary,37,3665058,42,Non-government,193606,1091,23.2,Metropolitan,433,4,"St Joseph's School, Mundingburra, QLD",,Primary,18.66379356,1,above,448,410,423,457,416,547,500,529,551,538,546,525,548,543,560,,,,,,3,0,0,0,5,2154,2665,2722,,2154,2665,2722,,report ICSEA,1 (lowest income),4,21540,10910,"2,183.582031"
St Joseph's School,2014,31,Mungindi,15477,2.7,NSW,Primary,26,1114374,15,Non-government,23193,958,4.4,Remote,65,29,"St Joseph's School, Mungindi, NSW",,Primary,14.77272701,0,below,386,367,392,426,399,470,460,518,474,493,,,,,,,,,,,3,0,0,5,5,1970,2415,,,1970,2415,,,report ICSEA,3,4,19700,9580,"1,924.52356"
St Joseph's School,2014,23,Murgon,14612,4.8,QLD,Primary,11,1914237,9,Non-government,31289,874,11.2,Provincial,124,57,"St Joseph's School, Murgon, QLD",,Primary,11.0714283,0,below,330,335,333,339,338,459,439,453,462,463,543,522,549,528,558,,,,,,3,0,0,0,5,1675,2276,2700,,1675,2276,2700,,report ICSEA,3,4,16750,8740,"1,760.907593"
St Joseph's School,2014,35,Murray Bridge,10716,8.6,SA,Primary,28,4425586,10,Non-government,34311,1000,26,Provincial,469,27,"St Joseph's School, Murray Bridge, SA",,Primary,18.03846169,0,below,382,408,376,384,374,485,464,493,488,469,541,526,558,546,539,,,,,,3,0,0,0,5,1924,2399,2710,,1924,2399,2710,,report ICSEA,2,4,19240,10000,"2,006.331543"
St Joseph's School,2014,34,North Ipswich,8955,9,QLD,Primary,34,3635535,17,Non-government,108634,1028,21.1,Metropolitan,409,15,"St Joseph's School, North Ipswich, QLD",,Primary,19.38388634,1,above,375,368,349,376,367,484,454,467,488,465,558,485,535,540,550,,,,,,3,0,0,0,5,1835,2358,2668,,1835,2358,2668,,report ICSEA,1 (lowest income),4,18350,10280,"2,060.870117"
St Joseph's School,2014,33,North Rockhampton,9885,10.6,QLD,Primary,28,3963798,8,Non-government,721913,980,21.2,Provincial,389,31,"St Joseph's School, North Rockhampton, QLD",,Primary,18.34905624,0,below,372,339,366,383,359,467,442,479,469,454,526,487,524,537,510,,,,,,3,0,0,0,5,1819,2311,2584,,1819,2311,2584,,report ICSEA,1 (lowest income),4,18190,9800,"1,967.375366"
St Joseph's School,2014,18,North Ward,9028,11.3,QLD,Primary,31,3593035,48,Non-government,169526,1101,20.9,Metropolitan,405,3,"St Joseph's School, North Ward, QLD",,Primary,19.37799072,1,above,429,386,398,428,409,503,471,495,521,493,547,515,554,543,561,,,,,,3,0,0,0,5,2050,2483,2720,,2050,2483,2720,,report ICSEA,1 (lowest income),4,20500,11010,"2,203.060059"
St Joseph's School,2014,33,Northam,11704,15.4,WA,Combined,29,5828787,18,Non-government,1459750,1024,29.1,Provincial,488,21,"St Joseph's School, Northam, WA",,Combined,16.76976013,0,above,405,408,404,411,364,487,482,480,497,479,549,498,543,546,539,569,538,575,568,579,3,0,0,0,0,1992,2425,2675,2829,1992,2425,2675,2829,report ICSEA,2,4,19920,10240,"2,053.078857"
St Joseph's School,2014,35,Numurkah,10216,4.4,VIC,Primary,26,2717539,8,Non-government,161387,957,16.3,Provincial,261,31,"St Joseph's School, Numurkah, VIC",,Primary,16.01226997,0,below,448,403,399,407,413,471,469,472,481,456,,,,,,,,,,,3,0,0,5,5,2070,2349,,,2070,2349,,,report ICSEA,1 (lowest income),4,20700,9570,"1,922.575684"
St Joseph's School,2014,21,Nundah,10636,4.6,QLD,Primary,30,1914420,41,Non-government,27244,1077,11.5,Metropolitan,168,9,"St Joseph's School, Nundah, QLD",,Primary,14.60869598,1,above,412,398,436,427,402,483,471,487,481,476,591,568,553,561,575,,,,,,3,0,0,0,5,2075,2398,2848,,2075,2398,2848,,report ICSEA,2,4,20750,10770,"2,156.312744"
St Joseph's School,2014,20,Orbost,22571,2.4,VIC,Primary,23,979564,7,Non-government,22548,922,4.1,Provincial,43,50,"St Joseph's School, Orbost, VIC",,Primary,10.48780441,0,below,,,,,,481,382,507,392,458,,,,,,,,,,,3,5,0,5,5,,2220,,,,2220,,,report ICSEA,4 (highest income),,,9220,"1,854.402466"
St Joseph's School,2014,29,Ottoway,12816,3.4,SA,Primary,25,2076121,12,Non-government,25149,980,11.5,Metropolitan,154,34,"St Joseph's School, Ottoway, SA",,Primary,13.39130402,0,below,381,377,418,395,361,475,434,488,491,461,530,520,556,536,521,,,,,,3,0,0,0,5,1932,2349,2663,,1932,2349,2663,,report ICSEA,3,4,19320,9800,"1,967.375366"
St Joseph's School,2014,24,Parramatta Park,9243,8.4,QLD,Primary,36,3558740,29,Non-government,153824,1045,20.7,Metropolitan,406,11,"St Joseph's School, Parramatta Park, QLD",,Primary,19.6135273,1,above,411,386,391,423,402,508,455,500,505,506,535,527,561,535,541,,,,,,3,0,0,0,5,2013,2474,2699,,2013,2474,2699,,report ICSEA,1 (lowest income),4,20130,10450,"2,093.98291"
St Joseph's School,2014,26,Payneham,9379,9,SA,Primary,35,3601409,30,Non-government,27776,1060,20.4,Metropolitan,378,9,"St Joseph's School, Payneham, SA",,Primary,18.52941132,1,above,405,419,423,421,389,500,494,517,493,469,574,582,599,588,578,,,,,,3,0,0,0,5,2057,2473,2921,,2057,2473,2921,,report ICSEA,1 (lowest income),4,20570,10600,"2,123.199951"
St Joseph's School,2014,35,Pemberton,24729,2.6,WA,Primary,24,1088067,11,Non-government,52414,1001,6,Provincial,47,30,"St Joseph's School, Pemberton, WA",,Primary,7.833333492,0,below,,,,,,492,464,471,516,490,568,542,548,569,631,,,,,,3,5,0,0,5,,2433,2858,,,2433,2858,,report ICSEA,4 (highest income),,,10010,"2,008.279297"
St Joseph's School,2014,48,Penshurst,19156,0.9,VIC,Primary,22,708784,1,Non-government,39459,941,3.8,Provincial,38,28,"St Joseph's School, Penshurst, VIC",,Primary,10,0,below,419,411,357,472,405,538,473,463,551,521,,,,,,,,,,,3,0,0,5,5,2064,2546,,,2064,2546,,,report ICSEA,4 (highest income),4,20640,9410,"1,891.410767"
St Joseph's School,2014,40,Peterborough,18406,2.8,SA,Primary,18,1012332,2,Non-government,72357,944,4.6,Provincial,56,40,"St Joseph's School, Peterborough, SA",,Primary,12.173913,0,below,325,273,310,303,287,496,445,474,454,473,524,498,470,513,507,,,,,,3,0,0,0,5,1498,2342,2512,,1498,2342,2512,,report ICSEA,4 (highest income),4,14980,9440,"1,897.254272"
St Joseph's School,2014,34,Pinjarra,12898,9.6,WA,Primary,26,2386064,9,Non-government,43940,990,11.6,Provincial,191,30,"St Joseph's School, Pinjarra, WA",,Primary,16.46551704,0,below,401,389,379,423,386,481,458,467,477,464,,439,502,524,519,,,,,,3,0,0,1,5,1978,2347,1984,,1978,2347,,,report ICSEA,3,4,19780,9900,"1,986.853394"
St Joseph's School,2014,27,Port Lincoln,14097,20.6,SA,Combined,36,9811532,28,Non-government,383637,1056,51.3,Remote,722,9,"St Joseph's School, Port Lincoln, SA",,Combined,14.07407379,1,above,404,410,407,413,396,478,470,490,492,490,551,551,558,557,558,592,555,592,591,605,3,0,0,0,0,2030,2420,2775,2935,2030,2420,2775,2935,report ICSEA,3,4,20300,10560,"2,115.408691"
St Joseph's School,2014,37,Portland,16129,1.9,NSW,Primary,17,758069,3,Non-government,10266,958,3.9,Provincial,44,43,"St Joseph's School, Portland, NSW",,Primary,11.28205109,0,below,383,371,360,395,422,,,,,,,,,,,,,,,,3,0,5,5,5,1931,,,,1931,,,,report ICSEA,3,4,19310,9580,"1,924.52356"
St Joseph's School,2014,27,Queens Park,9598,11.1,WA,Primary,30,4088936,27,Non-government,127343,1046,19.6,Metropolitan,418,16,"St Joseph's School, Queens Park, WA",,Primary,21.32653046,1,above,428,421,455,470,433,491,481,525,519,481,,,,,,,,,,,3,0,0,5,5,2207,2497,,,2207,2497,,,report ICSEA,1 (lowest income),4,22070,10460,"2,095.930664"
St Joseph's School,2014,30,Quirindi,13964,2.1,NSW,Primary,20,837861,6,Non-government,49493,933,5.3,Provincial,76,44,"St Joseph's School, Quirindi, NSW",,Primary,14.3396225,0,below,332,368,348,332,331,445,391,472,482,460,,,,,,,,,,,3,0,0,5,5,1711,2250,,,1711,2250,,,report ICSEA,3,4,17110,9330,"1,875.828369"
St Joseph's School,2014,28,Renmark,10915,5.3,SA,Primary,30,2235429,22,Non-government,53371,1023,12.9,Provincial,198,20,"St Joseph's School, Renmark, SA",,Primary,15.3488369,1,above,398,377,370,366,372,450,438,466,450,457,561,486,553,534,543,,,,,,3,0,0,0,5,1883,2261,2677,,1883,2261,2677,,report ICSEA,2,4,18830,10230,"2,051.131104"
St Joseph's School,2014,41,Rochester,12386,1.8,VIC,Primary,28,1362418,5,Non-government,69942,952,8.9,Provincial,116,26,"St Joseph's School, Rochester, VIC",,Primary,13.03370762,0,below,378,380,359,417,373,525,472,486,499,465,,,,,,,,,,,3,0,0,5,5,1907,2447,,,1907,2447,,,report ICSEA,2,4,19070,9520,"1,912.83667"
St Joseph's School,2014,35,Southern Cross,42846,2.9,WA,Primary,51,942622,3,Non-government,9831,1020,4.6,Remote,25,11,"St Joseph's School, Southern Cross, WA",,Primary,5.434782505,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,10200,"2,045.28772"
St Joseph's School,2014,36,Stanthorpe,13105,10,QLD,Combined,31,5281435,16,Non-government,662159,1022,32.7,Provincial,426,16,"St Joseph's School, Stanthorpe, QLD",,Combined,13.02752304,0,above,429,426,421,453,433,531,476,502,509,515,546,512,558,543,562,599,583,608,594,592,3,0,0,0,0,2162,2533,2721,2976,2162,2533,2721,2976,report ICSEA,3,4,21620,10220,"2,049.18335"
St Joseph's School,2014,32,Tara,17606,2.7,QLD,Primary,8,757061,4,Non-government,11719,918,4.7,Provincial,48,55,"St Joseph's School, Tara, QLD",,Primary,10.21276569,0,below,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,9180,"1,846.611206"
St Joseph's School,2014,37,Tenterfield,15627,1.6,NSW,Primary,28,2072195,15,Non-government,23533,1018,7.2,Provincial,107,20,"St Joseph's School, Tenterfield, NSW",,Primary,14.86111069,0,above,428,431,431,438,401,507,475,471,486,497,,,,,,,,,,,3,0,0,5,5,2129,2436,,,2129,2436,,,report ICSEA,3,4,21290,10180,"2,041.39209"
St Joseph's School,2014,,Trafalgar,15915,2.2,VIC,Primary,,1209576,,Non-government,32131,,6.1,Provincial,90,,"St Joseph's School, Trafalgar, VIC",,Primary,14.75409794,1,above,402,399,378,389,355,516,464,474,489,500,,,,,,,,,,,3,0,0,5,5,1923,2443,,,1923,2443,,,no ICSEA,3,4,19230,,
